,first_pass_score,am_score,bpe_lm_score,first_pass_length_penalty,ngram_lm_score_non_oov,ngram_lm_score_oov,ngram_lm_score,second_pass_score,diffusion_score,wer
0,1.641918881712044,-0.07205485916981912,0.22468254682779226,0.07366596515275552,0.32558309634261967,0.8410698181087232,0.6656133018606802,-0.8329840712609217,0.17899840398404768,0.1386188121562309
1,1.9033436986342902,0.8837698869658214,-1.3934475648755336,1.8702100796859435,-0.5501563698525507,0.42200379314548625,-0.6104236739586834,-0.4185390567942365,-0.5321038433861697,0.1497305405855881
2,1.4551644666585786,1.3247208967245248,0.6470184398866783,0.5973479045547676,-0.19384433635785558,-1.0057202296463872,0.40079020719583225,0.5637465886061951,-1.0857146944981555,0.1560642257903217
3,-0.3325723019889144,0.6576374472410292,-1.9018066558999343,2.3353162015142273,0.7141378307510384,-0.7654297311340356,0.4001208310552522,1.7533054611250078,1.4148032575377307,0.15278626590366132
4,-0.32527325241630095,0.06699528356843876,0.09102551460451327,2.0729223260423653,-0.12658547195459743,0.6806942219413603,-1.16955984534525,0.8386969379030014,-0.0411432056412397,0.14461914550808377
5,-0.40379494830757684,1.613059678895338,0.6508930695965527,-0.03525118892356173,-0.5898910831154419,0.2490477685364284,0.8563755036214697,0.5325028868110221,-1.026393254162653,0.1560642257903217
6,0.39149409429235177,-1.11483276405013,-0.9770334786126119,-1.4122172412506506,-1.5465223097939742,-0.12193862372654922,-0.7947037201882525,0.13679329481357452,0.014570420630668471,0.1176732040668926
7,-0.21017735618476543,-0.4143242446632103,0.07746237876968082,-1.0503632740716629,-1.669847750830497,-0.379367138574567,0.13373509287774393,0.16330246309856056,-0.535902032335611,0.14450802822379022
8,0.9786496315226868,0.4041761754638727,0.41359252095651,-1.0099940427346938,1.776813106643858,0.5590896720985096,-1.207593222102065,-1.6314195038180372,-0.9247139010620076,0.12556253125173622
9,-0.4784961689109937,-0.43723901541340543,-0.5230662287679443,0.35410238990742426,-1.366877255116828,0.3168830242159709,0.10557966789555764,-0.6592049180802868,-1.3674872770863962,0.11011722873492971
